provinsi,2020,2021,2022
 Aceh,5274.9,5333.7,5407.9
Sumatera Utara,14799.4,14936.2,15115.2
Sumatera Barat,5534.5,5580.2,5640.6
Riau,6394.1,6493.6,6614.4
Kep. Riau,2064.6,2118.2,2179.8
Jambi,3548.2,3585.1,3631.1
Sumatera Selatan,8467.4,8550.9,8657.0
Kep. Bangka Belitung,1455.7,1473.2,1494.6
Bengkulu,2010.7,2032.9,2060.1
Lampung,9007.8,9081.8,9176.6
DKI Jakarta,10562.1,10609.7,10680.0
 Jawa Barat,48274.2,48782.4,49405.8
Banten,11904.6,12061.5,12252.0
Jawa Tengah,36516.0,36742.5,37032.4
DI Yogyakarta,3668.7,3712.9,3761.9
Jawa Timur,40665.7,40878.8,41150.0
 Kalimantan Barat,5414.4,5470.8,5541.4
Kalimantan Tengah,2670.0,2702.2,2741.1
Kalimantan Selatan,4073.6,4122.6,4182.1
Kalimantan Timur,3766.0,3808.2,3859.8
Kalimantan Utara,701.8,713.6,727.8
Sulawesi Utara,2621.9,2638.6,2659.5
Gorontalo,1171.7,1181.0,1192.7
Sulawesi Tengah,2985.7,3021.9,3066.1
Sulawesi Selatan,9073.5,9139.5,9225.8
Sulawesi Barat,1419.2,1436.8,1458.6
Sulawesi Tenggara,2624.9,2659.2,2701.7
Bali,4317.4,4362.7,4415.1
Nusa Tenggara Barat,5320.1,5390.0,5473.7
Nusa Tenggara Timur,5325.6,5387.7,5466.3
Maluku,1848.9,1862.6,1881.7
Maluku Utara,1282.9,1299.2,1319.3
Papua Barat,1134.1,1156.8,1183.3
Papua,4303.7,4355.5,4418.6
Indonesia,270203.9,272682.5,275773.8
 Aceh,"5 274,9","5 333,7","5 407,9"
Sumatera Utara,"14 799,4","14 936,2","15 115,2"
Sumatera Barat,"5 534,5","5 580,2","5 640,6"
Riau,"6 394,1","6 493,6","6 614,4"
Kep. Riau,"2 064,6","2 118,2","2 179,8"
Jambi,"3 548,2","3 585,1","3 631,1"
Sumatera Selatan,"8 467,4","8 550,9","8 657,0"
Kep. Bangka Belitung,"1 455,7","1 473,2","1 494,6"
Bengkulu,"2 010,7","2 032,9","2 060,1"
Lampung,"9 007,8","9 081,8","9 176,6"
DKI Jakarta,"10 562,1","10 609,7","10 680,0"
 Jawa Barat,"48 274,2","48 782,4","49 405,8"
Banten,"11 904,6","12 061,5","12 252,0"
Jawa Tengah,"36 516,0","36 742,5","37 032,4"
DI Yogyakarta,"3 668,7","3 712,9","3 761,9"
Jawa Timur,"40 665,7","40 878,8","41 150,0"
 Kalimantan Barat,"5 414,4","5 470,8","5 541,4"
Kalimantan Tengah,"2 670,0","2 702,2","2 741,1"
Kalimantan Selatan,"4 073,6","4 122,6","4 182,1"
Kalimantan Timur,"3 766,0","3 808,2","3 859,8"
Kalimantan Utara,"701,8","713,6","727,8"
Sulawesi Utara,"2 621,9","2 638,6","2 659,5"
Gorontalo,"1 171,7","1 181,0","1 192,7"
Sulawesi Tengah,"2 985,7","3 021,9","3 066,1"
Sulawesi Selatan,"9 073,5","9 139,5","9 225,8"
Sulawesi Barat,"1 419,2","1 436,8","1 458,6"
Sulawesi Tenggara,"2 624,9","2 659,2","2 701,7"
Bali,"4 317,4","4 362,7","4 415,1"
Nusa Tenggara Barat,"5 320,1","5 390,0","5 473,7"
Nusa Tenggara Timur,"5 325,6","5 387,7","5 466,3"
Maluku,"1 848,9","1 862,6","1 881,7"
Maluku Utara,"1 282,9","1 299,2","1 319,3"
Papua Barat,"1 134,1","1 156,8","1 183,3"
Papua,"4 303,7","4 355,5","4 418,6"
Indonesia,"270 203,9","272 682,5","275 773,8"
